Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
MRPL46	blood plasma|case-blood plasma|control	-1.648878134	1.035698045	-0.785481922	4	0.059508046	0.059508046	NA	0.25	0.25	0	0
TACO1	blood plasma|case-blood plasma|control	0.069190426	1.035698045	-0.785481922	4	0.05966166	0.05966166	NA	0.25	0.25	0	0
CDC73	blood plasma|case-blood plasma|control	-0.403768302	1.035698045	-0.785481922	4	0.059754442	0.059754442	NA	0.25	0.25	0	0
H3C1;H3-3A;H3C15;H3-4;H3-5	blood plasma|case-blood plasma|control	1.902619225	1.035698045	-0.785481922	4	0.059850801	0.059850801	NA	0.25	0.25	0	0
H3-7	blood plasma|case-blood plasma|control	0.933540567	1.035698045	-0.785481922	4	0.059970896	0.059970896	NA	0.25	0.25	0	0
WDR6	blood plasma|case-blood plasma|control	0.220936574	1.035698045	-0.785481922	4	0.060010619	0.060010619	NA	0.25	0.25	0	0
GOLGB1	blood plasma|case-blood plasma|control	0.464382876	1.035698045	-0.785481922	4	0.060206356	0.060206356	NA	0.25	0.25	0	0
SDHB	blood plasma|case-blood plasma|control	1.77761069	1.035698045	-0.785481922	4	0.060354085	0.060354085	NA	0.25	0.25	0	0
MMAB	blood plasma|case-blood plasma|control	2.233158602	1.035698045	-0.785481922	4	0.060650464	0.060650464	NA	0.25	0.25	0	0
PFDN5	blood plasma|case-blood plasma|control	0.209101514	1.035698045	-0.785481922	4	0.060779016	0.060779016	NA	0.25	0.25	0	0
TAF2	blood plasma|case-blood plasma|control	1.531223767	1.035698045	-0.785481922	4	0.06078297	0.06078297	NA	0.25	0.25	0	0
YWHAH	blood plasma|case-blood plasma|control	2.554504597	1.035698045	-0.785481922	4	0.061133611	0.061133611	NA	0.25	0.25	0	0
IPO7	blood plasma|case-blood plasma|control	-0.86007121	1.035698045	-0.785481922	4	0.061197884	0.061197884	NA	0.25	0.25	0	0
QTRT1	blood plasma|case-blood plasma|control	0.612184661	1.035698045	-0.785481922	4	0.061251014	0.061251014	NA	0.25	0.25	0	0
RANBP2	blood plasma|case-blood plasma|control	-2.364990304	1.035698045	-0.785481922	4	0.061402213	0.061402213	NA	0.25	0.25	0	0
ISG15	blood plasma|case-blood plasma|control	0.676049223	1.035698045	-0.785481922	4	0.061432474	0.061432474	NA	0.25	0.25	0	0
RPA3	blood plasma|case-blood plasma|control	0.145466878	1.035698045	-0.785481922	4	0.061679106	0.061679106	NA	0.25	0.25	0	0
ENO3	blood plasma|case-blood plasma|control	0.591855536	1.035698045	-0.785481922	4	0.061976051	0.061976051	NA	0.25	0.25	0	0
GPKOW	blood plasma|case-blood plasma|control	-0.041139051	1.035698045	-0.785481922	4	0.062226209	0.062226209	NA	0.25	0.25	0	0
CDA	blood plasma|case-blood plasma|control	-2.22844775	1.035698045	-0.785481922	4	0.062566358	0.062566358	NA	0.25	0.25	0	0
ITGA1	blood plasma|case-blood plasma|control	1.274372607	1.035698045	-0.785481922	4	0.06258276	0.06258276	NA	0.25	0.25	0	0
SUB1	blood plasma|case-blood plasma|control	0.663473135	1.035698045	-0.785481922	4	0.062624963	0.062624963	NA	0.25	0.25	0	0
RAB31;RAB22A	blood plasma|case-blood plasma|control	0.486739854	1.035698045	-0.785481922	4	0.062669594	0.062669594	NA	0.25	0.25	0	0
PRDX3	blood plasma|case-blood plasma|control	2.963868031	1.035698045	-0.785481922	4	0.062743552	0.062743552	NA	0.25	0.25	0	0
LARP4B	blood plasma|case-blood plasma|control	-2.217862038	1.035698045	-0.785481922	4	0.062808671	0.062808671	NA	0.25	0.25	0	0
SLC6A15	blood plasma|case-blood plasma|control	0.175294675	1.035698045	-0.785481922	4	0.062898534	0.062898534	NA	0.25	0.25	0	0
C12orf57	blood plasma|case-blood plasma|control	-1.388904567	1.035698045	-0.785481922	4	0.063310717	0.063310717	NA	0.25	0.25	0	0
ERCC2	blood plasma|case-blood plasma|control	-3.088272571	1.035698045	-0.785481922	4	0.063424739	0.063424739	NA	0.25	0.25	0	0
EEF2	blood plasma|case-blood plasma|control	0.848334987	1.035698045	-0.785481922	4	0.063431871	0.063431871	NA	0.25	0.25	0	0
DENR	blood plasma|case-blood plasma|control	-0.157728138	1.035698045	-0.785481922	4	0.064023659	0.064023659	NA	0.25	0.25	0	0
CENPVL2;CENPVL3;CENPVL1	blood plasma|case-blood plasma|control	-0.66706096	1.035698045	-0.785481922	4	0.064030275	0.064030275	NA	0.25	0.25	0	0
GOT1	blood plasma|case-blood plasma|control	0.754269724	1.035698045	-0.785481922	4	0.064170006	0.064170006	NA	0.25	0.25	0	0
EPB41L1	blood plasma|case-blood plasma|control	1.820228214	1.035698045	-0.785481922	4	0.064221313	0.064221313	NA	0.25	0.25	0	0
AIFM2	blood plasma|case-blood plasma|control	1.75070677	1.035698045	-0.785481922	4	0.06459056	0.06459056	NA	0.25	0.25	0	0
PURB	blood plasma|case-blood plasma|control	-1.453943491	1.035698045	-0.785481922	4	0.064713228	0.064713228	NA	0.25	0.25	0	0
POFUT1	blood plasma|case-blood plasma|control	-0.811540399	1.035698045	-0.785481922	4	0.06477036	0.06477036	NA	0.25	0.25	0	0
OSGEP	blood plasma|case-blood plasma|control	-1.881436219	1.035698045	-0.785481922	4	0.064803375	0.064803375	NA	0.25	0.25	0	0
OGFR	blood plasma|case-blood plasma|control	-0.503944169	1.035698045	-0.785481922	4	0.064855927	0.064855927	NA	0.25	0.25	0	0
TXN	blood plasma|case-blood plasma|control	0.921212981	1.035698045	-0.785481922	4	0.064904943	0.064904943	NA	0.25	0.25	0	0
SOD1	blood plasma|case-blood plasma|control	1.406746472	1.035698045	-0.785481922	4	0.065019551	0.065019551	NA	0.25	0.25	0	0
PIP4P1	blood plasma|case-blood plasma|control	1.471765571	1.035698045	-0.785481922	4	0.065569252	0.065569252	NA	0.25	0.25	0	0
UBR7	blood plasma|case-blood plasma|control	-0.537595539	1.035698045	-0.785481922	4	0.06582051	0.06582051	NA	0.25	0.25	0	0
SF3B6	blood plasma|case-blood plasma|control	0.552280469	1.035698045	-0.785481922	4	0.065926178	0.065926178	NA	0.25	0.25	0	0
UQCRB	blood plasma|case-blood plasma|control	1.525417818	1.035698045	-0.785481922	4	0.065991962	0.065991962	NA	0.25	0.25	0	0
RPL13	blood plasma|case-blood plasma|control	-2.288827606	1.035698045	-0.785481922	4	0.06606905	0.06606905	NA	0.25	0.25	0	0
RAB2A;RAB2B	blood plasma|case-blood plasma|control	-0.355672427	1.035698045	-0.785481922	4	0.066203808	0.066203808	NA	0.25	0.25	0	0
PPM1B	blood plasma|case-blood plasma|control	-1.120919465	1.035698045	-0.785481922	4	0.066274269	0.066274269	NA	0.25	0.25	0	0
UBXN1	blood plasma|case-blood plasma|control	-1.023468963	1.035698045	-0.785481922	4	0.066313151	0.066313151	NA	0.25	0.25	0	0
GNAI3	blood plasma|case-blood plasma|control	-0.473202477	1.035698045	-0.785481922	4	0.066411505	0.066411505	NA	0.25	0.25	0	0
ZC3H11A	blood plasma|case-blood plasma|control	-0.866811024	1.035698045	-0.785481922	4	0.066593008	0.066593008	NA	0.25	0.25	0	0
TFRC	blood plasma|case-blood plasma|control	-1.258858457	1.035698045	-0.785481922	4	0.067109953	0.067109953	NA	0.25	0.25	0	0
PM20D2	blood plasma|case-blood plasma|control	-0.026711439	1.035698045	-0.785481922	4	0.06717094	0.06717094	NA	0.25	0.25	0	0
GTPBP3	blood plasma|case-blood plasma|control	-0.250747722	1.035698045	-0.785481922	4	0.067208003	0.067208003	NA	0.25	0.25	0	0
RPTOR	blood plasma|case-blood plasma|control	2.077799829	1.035698045	-0.785481922	4	0.067492965	0.067492965	NA	0.25	0.25	0	0
MRGBP	blood plasma|case-blood plasma|control	-1.136064331	1.035698045	-0.785481922	4	0.067529972	0.067529972	NA	0.25	0.25	0	0
MSH6	blood plasma|case-blood plasma|control	0.977618925	1.035698045	-0.785481922	4	0.067809855	0.067809855	NA	0.25	0.25	0	0
IKBIP	blood plasma|case-blood plasma|control	1.064674144	1.035698045	-0.785481922	4	0.067955929	0.067955929	NA	0.25	0.25	0	0
UGGT1	blood plasma|case-blood plasma|control	0.103938816	1.035698045	-0.785481922	4	0.068278104	0.068278104	NA	0.25	0.25	0	0
DNAAF5	blood plasma|case-blood plasma|control	0.749382347	1.035698045	-0.785481922	4	0.068385752	0.068385752	NA	0.25	0.25	0	0
PNP	blood plasma|case-blood plasma|control	1.403470369	1.035698045	-0.785481922	4	0.068470552	0.068470552	NA	0.25	0.25	0	0
ARF5	blood plasma|case-blood plasma|control	-1.714861477	1.035698045	-0.785481922	4	0.068498859	0.068498859	NA	0.25	0.25	0	0
MRPS35	blood plasma|case-blood plasma|control	-0.922784817	1.035698045	-0.785481922	4	0.068549417	0.068549417	NA	0.25	0.25	0	0
URB1	blood plasma|case-blood plasma|control	0.695416275	1.035698045	-0.785481922	4	0.0687157	0.0687157	NA	0.25	0.25	0	0
ELAVL1	blood plasma|case-blood plasma|control	1.32375063	1.035698045	-0.785481922	4	0.068848143	0.068848143	NA	0.25	0.25	0	0
MBD3	blood plasma|case-blood plasma|control	-0.26471443	1.035698045	-0.785481922	4	0.068854719	0.068854719	NA	0.25	0.25	0	0
UNC45A	blood plasma|case-blood plasma|control	-1.668998719	1.035698045	-0.785481922	4	0.068856945	0.068856945	NA	0.25	0.25	0	0
PHC3;PHC2	blood plasma|case-blood plasma|control	-1.382443527	1.035698045	-0.785481922	4	0.068879459	0.068879459	NA	0.25	0.25	0	0
NPR1	blood plasma|case-blood plasma|control	1.028883514	1.035698045	-0.785481922	4	0.069210723	0.069210723	NA	0.25	0.25	0	0
HERC4	blood plasma|case-blood plasma|control	-1.733566128	1.035698045	-0.785481922	4	0.069461448	0.069461448	NA	0.25	0.25	0	0
TMEM11	blood plasma|case-blood plasma|control	0.701900965	1.035698045	-0.785481922	4	0.069519629	0.069519629	NA	0.25	0.25	0	0
SRSF2	blood plasma|case-blood plasma|control	0.924765256	1.035698045	-0.785481922	4	0.069702262	0.069702262	NA	0.25	0.25	0	0
ZMAT2	blood plasma|case-blood plasma|control	1.04111461	1.035698045	-0.785481922	4	0.069913229	0.069913229	NA	0.25	0.25	0	0
TAF10	blood plasma|case-blood plasma|control	0.842218634	1.035698045	-0.785481922	4	0.06997251	0.06997251	NA	0.25	0.25	0	0
SAMD4B	blood plasma|case-blood plasma|control	-0.448884217	1.035698045	-0.785481922	4	0.069995251	0.069995251	NA	0.25	0.25	0	0
TNKS1BP1	blood plasma|case-blood plasma|control	-1.929117338	1.035698045	-0.785481922	4	0.070266597	0.070266597	NA	0.25	0.25	0	0
BANF1	blood plasma|case-blood plasma|control	0.215447602	1.035698045	-0.785481922	4	0.070287276	0.070287276	NA	0.25	0.25	0	0
PNPO	blood plasma|case-blood plasma|control	-1.903558542	1.035698045	-0.785481922	4	0.070305644	0.070305644	NA	0.25	0.25	0	0
TTI2	blood plasma|case-blood plasma|control	-1.352448078	1.035698045	-0.785481922	4	0.070581226	0.070581226	NA	0.25	0.25	0	0
ABR	blood plasma|case-blood plasma|control	1.467910851	1.035698045	-0.785481922	4	0.070675969	0.070675969	NA	0.25	0.25	0	0
PTCD3	blood plasma|case-blood plasma|control	0.722664699	1.035698045	-0.785481922	4	0.070820759	0.070820759	NA	0.25	0.25	0	0
LPP	blood plasma|case-blood plasma|control	0.471741601	1.035698045	-0.785481922	4	0.070943791	0.070943791	NA	0.25	0.25	0	0
CPS1	blood plasma|case-blood plasma|control	-0.810490778	1.035698045	-0.785481922	4	0.071051489	0.071051489	NA	0.25	0.25	0	0
ITPRID2	blood plasma|case-blood plasma|control	-0.489892966	1.035698045	-0.785481922	4	0.071085222	0.071085222	NA	0.25	0.25	0	0
PRKRA	blood plasma|case-blood plasma|control	0.726038029	1.035698045	-0.785481922	4	0.07117713	0.07117713	NA	0.25	0.25	0	0
EIF6	blood plasma|case-blood plasma|control	0.446764613	1.035698045	-0.785481922	4	0.071343036	0.071343036	NA	0.25	0.25	0	0
PPP1R8	blood plasma|case-blood plasma|control	1.875781763	1.035698045	-0.785481922	4	0.071394815	0.071394815	NA	0.25	0.25	0	0
RAB35	blood plasma|case-blood plasma|control	-1.003859275	1.035698045	-0.785481922	4	0.071403589	0.071403589	NA	0.25	0.25	0	0
CRIP2	blood plasma|case-blood plasma|control	1.63771045	1.035698045	-0.785481922	4	0.071407976	0.071407976	NA	0.25	0.25	0	0
ERLEC1	blood plasma|case-blood plasma|control	-1.321482827	1.035698045	-0.785481922	4	0.071452958	0.071452958	NA	0.25	0.25	0	0
S100A6	blood plasma|case-blood plasma|control	0.029814461	1.035698045	-0.785481922	4	0.071527735	0.071527735	NA	0.25	0.25	0	0
DNAJB1	blood plasma|case-blood plasma|control	-0.376596864	1.035698045	-0.785481922	4	0.071698588	0.071698588	NA	0.25	0.25	0	0
TJP2	blood plasma|case-blood plasma|control	1.778781797	1.035698045	-0.785481922	4	0.071726202	0.071726202	NA	0.25	0.25	0	0
AHCY	blood plasma|case-blood plasma|control	-2.224702738	1.035698045	-0.785481922	4	0.0717458	0.0717458	NA	0.25	0.25	0	0
NGDN	blood plasma|case-blood plasma|control	-0.443235021	1.035698045	-0.785481922	4	0.071817593	0.071817593	NA	0.25	0.25	0	0
FMR1	blood plasma|case-blood plasma|control	1.214303538	1.035698045	-0.785481922	4	0.071842739	0.071842739	NA	0.25	0.25	0	0
POLR2B	blood plasma|case-blood plasma|control	2.516604352	1.035698045	-0.785481922	4	0.072006064	0.072006064	NA	0.25	0.25	0	0
SPTBN1	blood plasma|case-blood plasma|control	-2.238067625	1.035698045	-0.785481922	4	0.07232049	0.07232049	NA	0.25	0.25	0	0
MVP	blood plasma|case-blood plasma|control	0.385113865	1.035698045	-0.785481922	4	0.072448212	0.072448212	NA	0.25	0.25	0	0
DYNC1I2	blood plasma|case-blood plasma|control	-0.733347312	1.035698045	-0.785481922	4	0.072475807	0.072475807	NA	0.25	0.25	0	0
GNL3L	blood plasma|case-blood plasma|control	0.5285783	1.035698045	-0.785481922	4	0.072532911	0.072532911	NA	0.25	0.25	0	0
PLEK2	blood plasma|case-blood plasma|control	-2.39708975	1.035698045	-0.785481922	4	0.072553216	0.072553216	NA	0.25	0.25	0	0
MRRF	blood plasma|case-blood plasma|control	-0.562916073	1.035698045	-0.785481922	4	0.072601357	0.072601357	NA	0.25	0.25	0	0
GMDS	blood plasma|case-blood plasma|control	-1.499480516	1.035698045	-0.785481922	4	0.072802346	0.072802346	NA	0.25	0.25	0	0
NDUFA3	blood plasma|case-blood plasma|control	-0.895287177	1.035698045	-0.785481922	4	0.073133071	0.073133071	NA	0.25	0.25	0	0
CRIP1	blood plasma|case-blood plasma|control	1.828856859	1.035698045	-0.785481922	4	0.073252246	0.073252246	NA	0.25	0.25	0	0
DCTN2	blood plasma|case-blood plasma|control	0.268510733	1.035698045	-0.785481922	4	0.07329358	0.07329358	NA	0.25	0.25	0	0
ZC3H7A	blood plasma|case-blood plasma|control	-0.749224379	1.035698045	-0.785481922	4	0.073391735	0.073391735	NA	0.25	0.25	0	0
KPNA2	blood plasma|case-blood plasma|control	0.893706359	1.035698045	-0.785481922	4	0.073416028	0.073416028	NA	0.25	0.25	0	0
PFN2	blood plasma|case-blood plasma|control	-0.992734402	1.035698045	-0.785481922	4	0.073505508	0.073505508	NA	0.25	0.25	0	0
FAS	blood plasma|case-blood plasma|control	-0.237213492	1.035698045	-0.785481922	4	0.073534274	0.073534274	NA	0.25	0.25	0	0
PPP5C	blood plasma|case-blood plasma|control	2.85767825	1.035698045	-0.785481922	4	0.073646076	0.073646076	NA	0.25	0.25	0	0
CSTB	blood plasma|case-blood plasma|control	-1.740554346	1.035698045	-0.785481922	4	0.073671871	0.073671871	NA	0.25	0.25	0	0
MAU2	blood plasma|case-blood plasma|control	0.754402664	1.035698045	-0.785481922	4	0.073746465	0.073746465	NA	0.25	0.25	0	0
BOLA3	blood plasma|case-blood plasma|control	0.118581653	1.035698045	-0.785481922	4	0.073799975	0.073799975	NA	0.25	0.25	0	0
VAV2	blood plasma|case-blood plasma|control	0.89647129	1.035698045	-0.785481922	4	0.074608055	0.074608055	NA	0.25	0.25	0	0
HSP90AA1	blood plasma|case-blood plasma|control	1.205122363	1.035698045	-0.785481922	4	0.075119568	0.075119568	NA	0.25	0.25	0	0
CNN2	blood plasma|case-blood plasma|control	-0.058010389	1.035698045	-0.785481922	4	0.075196802	0.075196802	NA	0.25	0.25	0	0
BZW2	blood plasma|case-blood plasma|control	-0.92192026	1.035698045	-0.785481922	4	0.075206454	0.075206454	NA	0.25	0.25	0	0
DDOST	blood plasma|case-blood plasma|control	-0.50622614	1.035698045	-0.785481922	4	0.075209765	0.075209765	NA	0.25	0.25	0	0
IKBKG	blood plasma|case-blood plasma|control	0.995015651	1.035698045	-0.785481922	4	0.075298353	0.075298353	NA	0.25	0.25	0	0
CAPZA2	blood plasma|case-blood plasma|control	1.11253684	1.035698045	-0.785481922	4	0.075501908	0.075501908	NA	0.25	0.25	0	0
CASC3	blood plasma|case-blood plasma|control	-1.78456847	1.035698045	-0.785481922	4	0.075641302	0.075641302	NA	0.25	0.25	0	0
CD99	blood plasma|case-blood plasma|control	0.14207741	1.035698045	-0.785481922	4	0.075654616	0.075654616	NA	0.25	0.25	0	0
WDR70	blood plasma|case-blood plasma|control	-0.556665514	1.035698045	-0.785481922	4	0.075864079	0.075864079	NA	0.25	0.25	0	0
SLC25A5	blood plasma|case-blood plasma|control	-0.153654323	1.035698045	-0.785481922	4	0.076077409	0.076077409	NA	0.25	0.25	0	0
PRPS1;PRPS1L1	blood plasma|case-blood plasma|control	0.241201413	1.035698045	-0.785481922	4	0.076159502	0.076159502	NA	0.25	0.25	0	0
CKB	blood plasma|case-blood plasma|control	1.142349539	1.035698045	-0.785481922	4	0.076168324	0.076168324	NA	0.25	0.25	0	0
GLMN	blood plasma|case-blood plasma|control	-2.076020378	1.035698045	-0.785481922	4	0.076288575	0.076288575	NA	0.25	0.25	0	0
ATP6V0D1	blood plasma|case-blood plasma|control	1.957634216	1.035698045	-0.785481922	4	0.076498298	0.076498298	NA	0.25	0.25	0	0
M6PR	blood plasma|case-blood plasma|control	-0.163629146	1.035698045	-0.785481922	4	0.076537773	0.076537773	NA	0.25	0.25	0	0
MAPK1IP1L	blood plasma|case-blood plasma|control	-1.442881789	1.035698045	-0.785481922	4	0.076554024	0.076554024	NA	0.25	0.25	0	0
NEDD4	blood plasma|case-blood plasma|control	-1.194011909	1.035698045	-0.785481922	4	0.076662597	0.076662597	NA	0.25	0.25	0	0
PSMA5	blood plasma|case-blood plasma|control	0.458238481	1.035698045	-0.785481922	4	0.076727248	0.076727248	NA	0.25	0.25	0	0
CEBPB	blood plasma|case-blood plasma|control	-0.095479606	1.035698045	-0.785481922	4	0.076914872	0.076914872	NA	0.25	0.25	0	0
PPCS	blood plasma|case-blood plasma|control	-1.297741701	1.035698045	-0.785481922	4	0.077619785	0.077619785	NA	0.25	0.25	0	0
BCKDHA	blood plasma|case-blood plasma|control	0.878997655	1.035698045	-0.785481922	4	0.077708635	0.077708635	NA	0.25	0.25	0	0
CPT1A	blood plasma|case-blood plasma|control	-1.422704576	1.035698045	-0.785481922	4	0.077737273	0.077737273	NA	0.25	0.25	0	0
NCDN	blood plasma|case-blood plasma|control	-1.516505159	1.035698045	-0.785481922	4	0.07814645	0.07814645	NA	0.25	0.25	0	0
AHSA1	blood plasma|case-blood plasma|control	-0.284993993	1.035698045	-0.785481922	4	0.078147117	0.078147117	NA	0.25	0.25	0	0
CHD4	blood plasma|case-blood plasma|control	0.097162873	1.035698045	-0.785481922	4	0.078364667	0.078364667	NA	0.25	0.25	0	0
EMSY	blood plasma|case-blood plasma|control	-1.737485223	1.035698045	-0.785481922	4	0.078474641	0.078474641	NA	0.25	0.25	0	0
PQBP1	blood plasma|case-blood plasma|control	0.296076111	1.035698045	-0.785481922	4	0.078498922	0.078498922	NA	0.25	0.25	0	0
GRSF1	blood plasma|case-blood plasma|control	0.575283714	1.035698045	-0.785481922	4	0.078727995	0.078727995	NA	0.25	0.25	0	0
MTMR2	blood plasma|case-blood plasma|control	0.031915265	1.035698045	-0.785481922	4	0.078809976	0.078809976	NA	0.25	0.25	0	0
ACTR2	blood plasma|case-blood plasma|control	-0.999220535	1.035698045	-0.785481922	4	0.078829717	0.078829717	NA	0.25	0.25	0	0
WASHC4	blood plasma|case-blood plasma|control	2.782758152	1.035698045	-0.785481922	4	0.078862351	0.078862351	NA	0.25	0.25	0	0
GBA1	blood plasma|case-blood plasma|control	1.132083157	1.035698045	-0.785481922	4	0.078957647	0.078957647	NA	0.25	0.25	0	0
GCLM	blood plasma|case-blood plasma|control	-0.614819981	1.035698045	-0.785481922	4	0.07898195	0.07898195	NA	0.25	0.25	0	0
EHD1	blood plasma|case-blood plasma|control	1.000718789	1.035698045	-0.785481922	4	0.079043675	0.079043675	NA	0.25	0.25	0	0
DHX16	blood plasma|case-blood plasma|control	2.972013213	1.035698045	-0.785481922	4	0.079431964	0.079431964	NA	0.25	0.25	0	0
PEX3	blood plasma|case-blood plasma|control	-0.313517362	1.035698045	-0.785481922	4	0.079466648	0.079466648	NA	0.25	0.25	0	0
OSBPL11	blood plasma|case-blood plasma|control	0.292097083	1.035698045	-0.785481922	4	0.079652285	0.079652285	NA	0.25	0.25	0	0
NIF3L1	blood plasma|case-blood plasma|control	-1.252380383	1.035698045	-0.785481922	4	0.079675827	0.079675827	NA	0.25	0.25	0	0
DBNL	blood plasma|case-blood plasma|control	2.885210623	1.035698045	-0.785481922	4	0.079828884	0.079828884	NA	0.25	0.25	0	0
FTH1	blood plasma|case-blood plasma|control	2.169389698	1.035698045	-0.785481922	4	0.079912951	0.079912951	NA	0.25	0.25	0	0
GOLGA4	blood plasma|case-blood plasma|control	0.445864887	1.035698045	-0.785481922	4	0.079918817	0.079918817	NA	0.25	0.25	0	0
ALYREF	blood plasma|case-blood plasma|control	1.556592355	1.035698045	-0.785481922	4	0.079999273	0.079999273	NA	0.25	0.25	0	0
NR2C2AP	blood plasma|case-blood plasma|control	-1.342504466	1.035698045	-0.785481922	4	0.080194304	0.080194304	NA	0.25	0.25	0	0
DDX20	blood plasma|case-blood plasma|control	0.197893632	1.035698045	-0.785481922	4	0.080300396	0.080300396	NA	0.25	0.25	0	0
DNAJC10	blood plasma|case-blood plasma|control	-0.36826308	1.035698045	-0.785481922	4	0.080530803	0.080530803	NA	0.25	0.25	0	0
DHX38	blood plasma|case-blood plasma|control	0.009208983	1.035698045	-0.785481922	4	0.080653314	0.080653314	NA	0.25	0.25	0	0
SRRT	blood plasma|case-blood plasma|control	1.682954415	1.035698045	-0.785481922	4	0.081016609	0.081016609	NA	0.25	0.25	0	0
LRPAP1	blood plasma|case-blood plasma|control	-2.082500964	1.035698045	-0.785481922	4	0.081074819	0.081074819	NA	0.25	0.25	0	0
UBL7	blood plasma|case-blood plasma|control	-0.631727433	1.035698045	-0.785481922	4	0.081211803	0.081211803	NA	0.25	0.25	0	0
EIF1AD	blood plasma|case-blood plasma|control	-1.92291899	1.035698045	-0.785481922	4	0.081319942	0.081319942	NA	0.25	0.25	0	0
URM1	blood plasma|case-blood plasma|control	-0.572194079	1.035698045	-0.785481922	4	0.081596763	0.081596763	NA	0.25	0.25	0	0
NFS1	blood plasma|case-blood plasma|control	-1.204522975	1.035698045	-0.785481922	4	0.081620166	0.081620166	NA	0.25	0.25	0	0
WDR36	blood plasma|case-blood plasma|control	-1.453828277	1.035698045	-0.785481922	4	0.081621104	0.081621104	NA	0.25	0.25	0	0
FA2H	blood plasma|case-blood plasma|control	1.109663452	1.035698045	-0.785481922	4	0.081780975	0.081780975	NA	0.25	0.25	0	0
P4HB	blood plasma|case-blood plasma|control	-1.198968467	1.035698045	-0.785481922	4	0.081858823	0.081858823	NA	0.25	0.25	0	0
MUC1	blood plasma|case-blood plasma|control	-1.780878588	1.035698045	-0.785481922	4	0.081870914	0.081870914	NA	0.25	0.25	0	0
MRPL33	blood plasma|case-blood plasma|control	0.48812161	1.035698045	-0.785481922	4	0.081896923	0.081896923	NA	0.25	0.25	0	0
RHOB	blood plasma|case-blood plasma|control	1.023783159	1.035698045	-0.785481922	4	0.081915892	0.081915892	NA	0.25	0.25	0	0
PRKAG1	blood plasma|case-blood plasma|control	1.487057329	1.035698045	-0.785481922	4	0.081920485	0.081920485	NA	0.25	0.25	0	0
LRIF1	blood plasma|case-blood plasma|control	1.353235347	1.035698045	-0.785481922	4	0.0819463	0.0819463	NA	0.25	0.25	0	0
UBE2V2	blood plasma|case-blood plasma|control	-2.37000749	1.035698045	-0.785481922	4	0.081954994	0.081954994	NA	0.25	0.25	0	0
SRPK2;SRPK3	blood plasma|case-blood plasma|control	0.850473063	1.035698045	-0.785481922	4	0.082062675	0.082062675	NA	0.25	0.25	0	0
MOSPD2	blood plasma|case-blood plasma|control	-0.572926347	1.035698045	-0.785481922	4	0.082163086	0.082163086	NA	0.25	0.25	0	0
EED	blood plasma|case-blood plasma|control	0.762986457	1.035698045	-0.785481922	4	0.082434758	0.082434758	NA	0.25	0.25	0	0
WDR1	blood plasma|case-blood plasma|control	-0.583155979	1.035698045	-0.785481922	4	0.082535937	0.082535937	NA	0.25	0.25	0	0
C1orf174	blood plasma|case-blood plasma|control	-0.498148932	1.035698045	-0.785481922	4	0.082591185	0.082591185	NA	0.25	0.25	0	0
DDX46	blood plasma|case-blood plasma|control	-1.064696596	1.035698045	-0.785481922	4	0.083031082	0.083031082	NA	0.25	0.25	0	0
DDX10	blood plasma|case-blood plasma|control	-0.557767808	1.035698045	-0.785481922	4	0.08306211	0.08306211	NA	0.25	0.25	0	0
WAC	blood plasma|case-blood plasma|control	0.759889296	1.035698045	-0.785481922	4	0.08310069	0.08310069	NA	0.25	0.25	0	0
AGPS	blood plasma|case-blood plasma|control	-1.19316356	1.035698045	-0.785481922	4	0.083119499	0.083119499	NA	0.25	0.25	0	0
SH3KBP1	blood plasma|case-blood plasma|control	0.38856073	1.035698045	-0.785481922	4	0.083180328	0.083180328	NA	0.25	0.25	0	0
TBCE	blood plasma|case-blood plasma|control	-0.281335799	1.035698045	-0.785481922	4	0.083430331	0.083430331	NA	0.25	0.25	0	0
EIF2D	blood plasma|case-blood plasma|control	-1.967963207	1.035698045	-0.785481922	4	0.083489918	0.083489918	NA	0.25	0.25	0	0
SPRYD4	blood plasma|case-blood plasma|control	0.901845543	1.035698045	-0.785481922	4	0.083843849	0.083843849	NA	0.25	0.25	0	0
PDLIM5	blood plasma|case-blood plasma|control	2.75614284	1.035698045	-0.785481922	4	0.084067806	0.084067806	NA	0.25	0.25	0	0
P4HB	blood plasma|case-blood plasma|control	-0.541067811	1.035698045	-0.785481922	4	0.084129324	0.084129324	NA	0.25	0.25	0	0
B4GAT1	blood plasma|case-blood plasma|control	-1.347630295	1.035698045	-0.785481922	4	0.08417676	0.08417676	NA	0.25	0.25	0	0
CHMP1B	blood plasma|case-blood plasma|control	-1.781486717	1.035698045	-0.785481922	4	0.084218784	0.084218784	NA	0.25	0.25	0	0
UQCRC2	blood plasma|case-blood plasma|control	2.386554495	1.035698045	-0.785481922	4	0.08439092	0.08439092	NA	0.25	0.25	0	0
RANBP1	blood plasma|case-blood plasma|control	-0.129454226	1.035698045	-0.785481922	4	0.084541591	0.084541591	NA	0.25	0.25	0	0
GINS3	blood plasma|case-blood plasma|control	0.772871882	1.035698045	-0.785481922	4	0.08457544	0.08457544	NA	0.25	0.25	0	0
ATP5F1A	blood plasma|case-blood plasma|control	1.432856327	1.035698045	-0.785481922	4	0.084677871	0.084677871	NA	0.25	0.25	0	0
